"legacy_symbol","proposed_name","kind","confidence","evidence","files_touched","notes","status"
"forward","ForwardDemoApp","class","high","Main runtime, script interpreter, scene/audio/capture orchestration.","java-desktop/src/main/java/forward.java","Suitable for readable C++ app-level naming now.","seed_high_confidence"
"mmjamma","DesktopAppletBase","class","high","Applet-like parameter and base-url host adapted to desktop.","java-desktop/src/main/java/mmjamma.java","Java desktop host concept; likely transformed or dropped in headless exporter.","seed_high_confidence"
"kaajkmk","AppletParameterStub","class","high","Stores parameters and base URL.","java-desktop/src/main/java/kaajkmk.java","Java host plumbing; keep mapping for traceability.","seed_high_confidence"
"kmjakka","DesktopAppletContext","class","high","Desktop replacement for applet context operations.","java-desktop/src/main/java/kmjakka.java","Java host plumbing; probably absent in headless exporter.","seed_high_confidence"
"maaakka","SmoothedFrameTimer","class","high","Moving-average timer used for frame timing.","java-desktop/src/main/java/maaakka.java","Behavioral concept is clear even if offline exporter later replaces wall-clock logic.","seed_high_confidence"
"mmjjmma","Scene","class","high","Abstract off-screen scene lifecycle.","java-desktop/src/main/java/mmjjmma.java","Direct C++ base-class naming candidate.","seed_high_confidence"
"majjkka","GraphicsRoutine","class","high","Abstract direct-to-Graphics routine lifecycle.","java-desktop/src/main/java/majjkka.java","Likely becomes a dedicated overlay/text routine abstraction in C++.","seed_high_confidence"
"mmajkka","SoftwareImageSurface","class","high","Base ImageProducer wrapper.","java-desktop/src/main/java/mmajkka.java","Presentation bridge may disappear in headless exporter; name remains useful in Java analysis.","seed_high_confidence"
"mmjamka","ImageDecodeConsumer","class","high","ImageConsumer used to decode AWT images into engine surfaces.","java-desktop/src/main/java/mmjamka.java","Java AWT integration concept; not expected to survive literally in C++.","seed_high_confidence"
"mmaamma","RgbSurface","class","high","32-bit RGB software framebuffer.","java-desktop/src/main/java/mmaamma.java","Direct C++ renderer naming candidate.","seed_high_confidence"
"kmajkka","IndexedSurface","class","high","8-bit paletted software surface.","java-desktop/src/main/java/kmajkka.java","Direct C++ renderer naming candidate.","seed_high_confidence"
"mmajkmk","SurfacePresenter","class","high","Common presenter and scaler base.","java-desktop/src/main/java/mmajkmk.java","Presentation-layer concept; may be removed in headless exporter.","seed_high_confidence"
"kaaakka","RgbSurfacePresenter","class","high","Presents RgbSurface content.","java-desktop/src/main/java/kaaakka.java","Java presentation helper; may be omitted in exporter.","seed_high_confidence"
"kmjamka","IndexedSurfacePresenter","class","high","Presents IndexedSurface content.","java-desktop/src/main/java/kmjamka.java","Java presentation helper; may be omitted in exporter.","seed_high_confidence"
"mmajmma","Vec3f","class","high","3D vector operations.","java-desktop/src/main/java/mmajmma.java","Direct C++ math naming candidate.","seed_high_confidence"
"maajkka","Mat3f","class","high","3x3 basis or transform matrix.","java-desktop/src/main/java/maajkka.java","Direct C++ math naming candidate.","seed_high_confidence"
"mmjakka","Vertex","class","high","3D vertex with projected attributes.","java-desktop/src/main/java/mmjakka.java","Direct C++ geometry naming candidate.","seed_high_confidence"
"kmajkmk","UvCoord","class","high","Texture coordinates.","java-desktop/src/main/java/kmajkmk.java","Direct C++ geometry naming candidate.","seed_high_confidence"
"kmaamma","Triangle","class","high","Face made from three vertices and three UVs.","java-desktop/src/main/java/kmaamma.java","Direct C++ geometry naming candidate.","seed_high_confidence"
"mmajmmk","MeshObject","class","high","Transformable mesh or object instance.","java-desktop/src/main/java/mmajmmk.java","Direct C++ scene/render naming candidate.","seed_high_confidence"
"kaajmmk","Camera","class","high","View origin, orientation, near/far, FOV.","java-desktop/src/main/java/kaajmmk.java","Direct C++ scene/render naming candidate.","seed_high_confidence"
"kaajmka","ViewFrustum","class","high","Frustum setup and mesh visibility tests.","java-desktop/src/main/java/kaajmka.java","Direct C++ scene/render naming candidate.","seed_high_confidence"
"kmaakma","SceneRenderer","class","high","Collects objects, culls, sorts, renders.","java-desktop/src/main/java/kmaakma.java","Direct C++ renderer naming candidate.","seed_high_confidence"
"maaakma","DepthSorter","class","high","Quicksort-like sorter over primitives by depth.","java-desktop/src/main/java/maaakma.java","Direct C++ renderer naming candidate.","seed_high_confidence"
"kaajmma","TexturedTriangleRasterizer","class","high","Textured triangle drawing into RgbSurface.","java-desktop/src/main/java/kaajmma.java","Direct C++ renderer naming candidate.","seed_high_confidence"
"kaajkka","AseSceneLoader","class","high","Parses .ase scene and object data.","java-desktop/src/main/java/kaajkka.java","Direct C++ asset-loader naming candidate.","seed_high_confidence"
